#,name,primary_type,secondary_type,total,hp,attack,defense,sp_atk,sp_def,speed,variant,stat_tier,type_combo,is_dual_type,offensive_power,defensive_bulk,speed_tier
578,Duosion,Psychic,,370,65,40,50,125,60,30,,Weak (300-399),Psychic,False,59.5,29.4,Very Slow
579,Reuniclus,Psychic,,490,110,65,75,125,85,30,,Average (400-499),Psychic,False,76.3,78.9,Very Slow
580,Ducklett,Water,Flying,305,62,44,50,44,50,55,,Weak (300-399),Water / Flying,True,9.5,22.8,Slow
581,Swanna,Water,Flying,473,75,87,63,87,63,98,,Average (400-499),Water / Flying,True,65.9,41.9,Average
582,Vanillite,Ice,,305,36,50,50,65,60,44,,Weak (300-399),Ice,False,25.7,16.3,Very Slow
583,Vanillish,Ice,,395,51,65,65,80,75,59,,Weak (300-399),Ice,False,46.0,37.6,Slow
584,Vanilluxe,Ice,,535,71,95,85,110,95,79,,Strong (500-579),Ice,False,85.2,68.8,Average
585,Deerling,Normal,Grass,335,60,60,50,40,50,75,,Weak (300-399),Normal / Grass,True,16.6,21.8,Average
586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,,Average (400-499),Normal / Grass,True,56.3,52.2,Average
587,Emolga,Electric,Flying,428,55,75,60,75,60,103,,Average (400-499),Electric / Flying,True,50.3,29.4,Fast
588,Karrablast,Bug,,315,50,75,45,40,45,60,,Weak (300-399),Bug,False,25.7,13.3,Slow
589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,,Average (400-499),Bug / Steel,True,79.80000000000001,83.6,Very Slow
590,Foongus,Grass,Poison,294,69,55,45,55,55,15,,Very Weak (<300),Grass / Poison,True,22.6,25.7,Very Slow
591,Amoonguss,Grass,Poison,464,114,85,70,85,80,30,,Average (400-499),Grass / Poison,True,63.3,75.1,Very Slow
592,Frillish,Water,Ghost,335,55,40,50,65,85,40,,Weak (300-399),Water / Ghost,True,19.400000000000002,36.4,Very Slow
593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,,Average (400-499),Water / Ghost,True,46.0,81.8,Slow
594,Alomomola,Water,,470,165,75,80,40,45,65,,Average (400-499),Water,False,25.7,87.0,Slow
595,Joltik,Bug,Electric,319,50,47,50,57,50,65,,Weak (300-399),Bug / Electric,True,18.5,17.599999999999998,Slow
596,Galvantula,Bug,Electric,472,70,77,60,97,60,108,,Average (400-499),Bug / Electric,True,65.9,36.4,Fast
597,Ferroseed,Grass,Steel,305,44,50,91,24,86,10,,Weak (300-399),Grass / Steel,True,4.9,53.400000000000006,Very Slow
598,Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,,Average (400-499),Grass / Steel,True,48.4,94.89999999999999,Very Slow
599,Klink,Steel,,300,40,55,70,45,60,30,,Very Weak (<300),Steel,False,16.6,26.900000000000002,Very Slow
600,Klang,Steel,,440,60,80,95,70,85,50,,Average (400-499),Steel,False,50.3,62.3,Slow
601,Klinklang,Steel,,520,60,100,115,70,85,90,,Strong (500-579),Steel,False,63.3,73.0,Average
602,Tynamo,Electric,,275,35,55,40,45,40,60,,Very Weak (<300),Electric,False,16.6,4.6,Slow
603,Eelektrik,Electric,,405,65,85,70,75,70,40,,Average (400-499),Electric,False,56.3,43.6,Very Slow
604,Eelektross,Electric,,515,85,115,80,105,80,50,,Strong (500-579),Electric,False,90.4,64.9,Slow
605,Elgyem,Psychic,,335,55,55,55,85,55,30,,Weak (300-399),Psychic,False,41.6,24.099999999999998,Very Slow
606,Beheeyem,Psychic,,485,75,75,75,125,95,40,,Average (400-499),Psychic,False,82.69999999999999,64.9,Very Slow
607,Litwick,Ghost,Fire,275,50,30,55,65,55,20,,Very Weak (<300),Ghost / Fire,True,13.8,21.8,Very Slow
608,Lampent,Ghost,Fire,370,60,40,60,95,60,55,,Weak (300-399),Ghost / Fire,True,37.6,31.6,Slow
609,Chandelure,Ghost,Fire,520,60,55,90,145,90,80,,Strong (500-579),Ghost / Fire,True,82.69999999999999,62.3,Average
610,Axew,Dragon,,320,46,87,60,30,40,57,,Weak (300-399),Dragon,False,27.0,16.3,Slow
611,Fraxure,Dragon,,410,66,117,70,40,50,67,,Average (400-499),Dragon,False,54.400000000000006,34.599999999999994,Slow
612,Haxorus,Dragon,,540,76,147,90,60,70,97,,Strong (500-579),Dragon,False,85.9,60.0,Average
613,Cubchoo,Ice,,305,55,70,40,60,40,40,,Weak (300-399),Ice,False,34.699999999999996,11.5,Very Slow
614,Beartic,Ice,,505,95,130,80,70,80,50,,Strong (500-579),Ice,False,82.69999999999999,70.39999999999999,Slow
615,Cryogonal,Ice,,515,80,50,50,95,135,105,,Strong (500-579),Ice,False,46.0,76.1,Fast
616,Shelmet,Bug,,305,50,40,85,40,65,25,,Weak (300-399),Bug,False,6.5,41.0,Very Slow
617,Accelgor,Bug,,495,80,70,40,100,60,145,,Average (400-499),Bug,False,63.3,31.6,Very Fast
618,Stunfisk,Ground,Steel,471,109,81,99,66,84,32,Galarian,Average (400-499),Ground / Steel,True,48.0,87.8,Very Slow
618,Stunfisk,Ground,Electric,471,109,66,84,81,99,32,,Average (400-499),Ground / Electric,True,48.0,87.8,Very Slow
619,Mienfoo,Fighting,,350,45,85,50,55,50,65,,Weak (300-399),Fighting,False,41.6,15.2,Slow
620,Mienshao,Fighting,,510,65,125,60,95,60,105,,Strong (500-579),Fighting,False,90.4,33.800000000000004,Fast
621,Druddigon,Dragon,,485,77,120,90,60,90,48,,Average (400-499),Dragon,False,70.3,71.39999999999999,Slow
622,Golett,Ground,Ghost,303,59,74,50,35,50,35,,Weak (300-399),Ground / Ghost,True,21.2,20.9,Very Slow
623,Golurk,Ground,Ghost,483,89,124,80,55,80,55,,Average (400-499),Ground / Ghost,True,68.60000000000001,66.2,Slow
624,Pawniard,Dark,Steel,340,45,85,70,40,40,60,,Weak (300-399),Dark / Steel,True,32.1,19.7,Slow
625,Bisharp,Dark,Steel,490,65,125,100,60,70,70,,Average (400-499),Dark / Steel,True,74.0,59.199999999999996,Slow
626,Bouffalant,Normal,,490,95,110,95,40,95,55,,Average (400-499),Normal,False,50.3,85.3,Slow
627,Rufflet,Normal,Flying,350,70,83,50,37,50,60,,Weak (300-399),Normal / Flying,True,29.2,26.900000000000002,Slow
628,Braviary,Normal,Flying,510,100,123,75,57,75,80,,Strong (500-579),Normal / Flying,True,70.3,67.5,Average
629,Vullaby,Dark,Flying,370,70,55,75,45,65,60,,Weak (300-399),Dark / Flying,True,16.6,46.1,Slow
630,Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,,Strong (500-579),Dark / Flying,True,29.2,92.5,Average
631,Heatmor,Fire,,484,85,97,66,105,66,65,,Average (400-499),Fire,False,84.1,50.1,Slow
632,Durant,Bug,Steel,484,58,109,112,48,48,109,,Average (400-499),Bug / Steel,True,54.400000000000006,50.5,Fast
633,Deino,Dark,Dragon,300,52,65,50,45,50,38,,Very Weak (<300),Dark / Dragon,True,22.6,18.8,Very Slow
634,Zweilous,Dark,Dragon,420,72,85,70,65,70,58,,Average (400-499),Dark / Dragon,True,50.3,47.099999999999994,Slow
635,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,,Very Strong (580-699),Dark / Dragon,True,92.7,80.30000000000001,Average
636,Larvesta,Bug,Fire,360,55,85,55,50,55,60,,Weak (300-399),Bug / Fire,True,37.6,24.099999999999998,Slow
637,Volcarona,Bug,Fire,550,85,60,65,135,105,100,,Strong (500-579),Bug / Fire,True,79.80000000000001,70.39999999999999,Average
638,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,,Strong (500-579),Steel / Fighting,True,70.3,87.8,Fast
639,Terrakion,Rock,Fighting,580,91,129,90,72,90,108,,Strong (500-579),Rock / Fighting,True,83.89999999999999,80.0,Fast
640,Virizion,Grass,Fighting,580,91,90,72,90,129,108,,Strong (500-579),Grass / Fighting,True,70.3,87.8,Fast
641,Tornadus,Flying,,580,79,115,70,125,80,111,Incarnate Form,Strong (500-579),Flying,False,94.1,56.3,Fast
641,Tornadus,Flying,,580,79,100,80,110,90,121,Therian Form,Strong (500-579),Flying,False,87.3,66.2,Fast
642,Thundurus,Electric,Flying,580,79,115,70,125,80,111,Incarnate Form,Strong (500-579),Electric / Flying,True,94.1,56.3,Fast
642,Thundurus,Electric,Flying,580,79,105,70,145,80,101,Therian Form,Strong (500-579),Electric / Flying,True,95.6,56.3,Fast
643,Reshiram,Dragon,Fire,680,100,120,100,150,120,90,,Very Strong (580-699),Dragon / Fire,True,98.1,94.5,Average
644,Zekrom,Dragon,Electric,680,100,150,120,120,100,90,,Very Strong (580-699),Dragon / Electric,True,98.1,94.5,Average
645,Landorus,Ground,Flying,600,89,125,90,115,80,101,Incarnate Form,Very Strong (580-699),Ground / Flying,True,94.1,71.8,Fast
645,Landorus,Ground,Flying,600,89,145,90,105,80,91,Therian Form,Very Strong (580-699),Ground / Flying,True,95.6,71.8,Average
646,Kyurem,Dragon,Ice,700,125,170,100,120,90,95,Black,Very Strong (580-699),Dragon / Ice,True,99.0,93.5,Average
646,Kyurem,Dragon,Ice,700,125,120,90,170,100,95,White,Very Strong (580-699),Dragon / Ice,True,99.0,93.5,Average
646,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,,Very Strong (580-699),Dragon / Ice,True,96.8,91.2,Average
647,Keldeo,Water,Fighting,580,91,72,90,129,90,108,Ordinary Form,Strong (500-579),Water / Fighting,True,83.89999999999999,80.0,Fast
647,Keldeo,Water,Fighting,580,91,72,90,129,90,108,Resolute Form,Strong (500-579),Water / Fighting,True,83.89999999999999,80.0,Fast
648,Meloetta,Normal,Psychic,600,100,77,77,128,128,90,Aria Form,Very Strong (580-699),Normal / Psychic,True,85.2,91.2,Average
648,Meloetta,Normal,Fighting,600,100,128,90,77,77,128,Pirouette Form,Very Strong (580-699),Normal / Fighting,True,85.2,77.3,Fast
649,Genesect,Bug,Steel,600,71,120,95,120,95,99,,Very Strong (580-699),Bug / Steel,True,94.1,74.2,Average
650,Chespin,Grass,,313,56,61,65,48,45,38,,Weak (300-399),Grass,False,21.2,24.9,Very Slow
651,Quilladin,Grass,,405,61,78,95,56,58,57,,Average (400-499),Grass,False,36.5,47.4,Slow
652,Chesnaught,Grass,Fighting,530,88,107,122,74,75,64,,Strong (500-579),Grass / Fighting,True,72.0,85.3,Slow
653,Fennekin,Fire,,307,40,45,40,62,60,60,,Weak (300-399),Fire,False,20.7,13.3,Slow
654,Braixen,Fire,,409,59,59,58,90,70,73,,Average (400-499),Fire,False,48.699999999999996,34.699999999999996,Average
655,Delphox,Fire,Psychic,534,75,69,72,114,100,104,,Strong (500-579),Fire / Psychic,True,72.5,65.5,Fast
656,Froakie,Water,,314,41,56,40,62,44,71,,Weak (300-399),Water,False,27.3,7.6,Average
657,Frogadier,Water,,405,54,63,52,83,56,97,,Average (400-499),Water,False,47.699999999999996,22.8,Average
658,Greninja,Water,Dark,640,72,145,67,153,71,132,Ash,Very Strong (580-699),Water / Dark,True,99.2,46.1,Very Fast
658,Greninja,Water,Dark,530,72,95,67,103,71,122,,Strong (500-579),Water / Dark,True,81.2,46.1,Fast
659,Bunnelby,Normal,,237,38,36,38,32,36,57,,Very Weak (<300),Normal,False,3.6999999999999997,3.8,Slow
660,Diggersby,Normal,Ground,423,85,56,77,50,77,78,,Average (400-499),Normal / Ground,True,20.4,60.8,Average
661,Fletchling,Normal,Flying,278,45,50,43,40,38,62,,Very Weak (<300),Normal / Flying,True,10.8,8.1,Slow
662,Fletchinder,Fire,Flying,382,62,73,55,56,52,84,,Weak (300-399),Fire / Flying,True,33.5,25.7,Average
663,Talonflame,Fire,Flying,499,78,81,71,74,69,126,,Average (400-499),Fire / Flying,True,53.300000000000004,50.5,Fast
664,Scatter,Bug,Bug,200,38,35,40,27,25,35,,Very Weak (<300),Bug / Bug,True,3.2,2.6,Very Slow
665,Spewpa,Bug,,213,45,22,60,27,30,29,,Very Weak (<300),Bug,False,1.2,11.5,Very Slow
666,Vivillon,Bug,Flying,411,80,52,50,90,50,89,,Average (400-499),Bug / Flying,True,43.9,31.6,Average
667,Litleo,Fire,Normal,369,62,50,58,73,54,72,,Weak (300-399),Fire / Normal,True,31.1,28.499999999999996,Average
668,Pyroar,Fire,Normal,507,86,68,72,109,66,106,,Strong (500-579),Fire / Normal,True,68.4,53.900000000000006,Fast
669,Flabébé,Fairy,,303,44,38,39,61,79,42,,Weak (300-399),Fairy,False,15.299999999999999,22.8,Very Slow
670,Floette,Fairy,,371,54,45,47,75,98,52,,Weak (300-399),Fairy,False,29.2,40.300000000000004,Slow
671,Florges,Fairy,,552,78,65,68,112,154,75,,Strong (500-579),Fairy,False,68.4,89.9,Average
672,Skiddo,Grass,,350,66,65,48,62,57,52,,Weak (300-399),Grass,False,33.0,27.900000000000002,Slow
673,Gogoat,Grass,,531,123,100,62,97,81,68,,Strong (500-579),Grass,False,80.9,77.0,Slow
674,Pancham,Fighting,,348,67,82,62,46,48,43,,Weak (300-399),Fighting,False,33.300000000000004,30.4,Very Slow
675,Pangoro,Fighting,Dark,495,95,124,78,69,71,58,,Average (400-499),Fighting / Dark,True,78.4,64.3,Slow
676,Furfrou,Normal,,472,75,80,60,65,90,102,,Average (400-499),Normal,False,46.0,54.800000000000004,Fast
677,Espurr,Psychic,,355,62,48,54,63,60,68,,Weak (300-399),Psychic,False,24.099999999999998,30.2,Slow
678,Meowstic,Male,Psychic,466,74,48,76,83,81,104,,Average (400-499),Male / Psychic,True,36.0,57.9,Fast
678,Meowstic,Female,Psychic,466,74,48,76,83,81,104,,Average (400-499),Female / Psychic,True,36.0,57.9,Fast
679,Honedge,Steel,Ghost,325,45,80,100,35,37,28,,Weak (300-399),Steel / Ghost,True,25.7,32.7,Very Slow
680,Doublade,Steel,Ghost,448,59,110,150,45,49,35,,Average (400-499),Steel / Ghost,True,53.300000000000004,71.6,Very Slow
681,Aegislash,Steel,Ghost,500,60,140,50,140,50,60,Blade Form,Average (400-499),Steel / Ghost,True,98.6,21.8,Slow
681,Aegislash,Steel,Ghost,500,60,50,140,50,140,60,Shield Form,Average (400-499),Steel / Ghost,True,16.6,97.1,Slow
682,Spritzee,Fairy,,341,78,52,60,63,65,23,,Weak (300-399),Fairy,False,25.7,42.5,Very Slow
683,Aromatisse,Fairy,,462,101,72,72,99,89,29,,Average (400-499),Fairy,False,65.0,74.5,Very Slow
684,Swirlix,Fairy,,341,62,48,66,59,57,49,,Weak (300-399),Fairy,False,20.7,33.800000000000004,Slow
685,Slurpuff,Fairy,,480,82,80,86,85,75,72,,Average (400-499),Fairy,False,59.5,64.1,Average
686,Inkay,Dark,Psychic,288,53,54,53,37,46,45,,Very Weak (<300),Dark / Psychic,True,12.3,18.8,Very Slow
687,Malamar,Dark,Psychic,482,86,92,88,68,75,73,,Average (400-499),Dark / Psychic,True,56.3,66.2,Average
688,Binacle,Rock,Water,306,42,52,67,39,56,50,,Weak (300-399),Rock / Water,True,12.3,24.099999999999998,Slow
689,Barbaracle,Rock,Water,500,72,105,115,54,86,68,,Average (400-499),Rock / Water,True,55.00000000000001,80.60000000000001,Slow
690,Skrelp,Poison,Water,320,50,60,60,60,60,30,,Weak (300-399),Poison / Water,True,29.2,26.900000000000002,Very Slow
691,Dragalge,Poison,Dragon,494,65,75,90,97,123,44,,Average (400-499),Poison / Dragon,True,65.3,82.8,Very Slow
692,Clauncher,Water,,330,50,53,62,58,63,44,,Weak (300-399),Water,False,24.099999999999998,29.4,Very Slow
693,Clawitzer,Water,,500,71,73,88,120,89,59,,Average (400-499),Water,False,78.4,65.8,Slow
694,Helioptile,Electric,Normal,289,44,38,33,61,43,70,,Very Weak (<300),Electric / Normal,True,15.299999999999999,6.1,Slow
695,Heliolisk,Electric,Normal,481,62,55,52,109,94,109,,Average (400-499),Electric / Normal,True,58.4,44.800000000000004,Fast
696,Tyrunt,Rock,Dragon,362,58,89,77,45,45,48,,Weak (300-399),Rock / Dragon,True,36.5,31.6,Slow
697,Tyrantrum,Rock,Dragon,521,82,121,119,69,59,71,,Strong (500-579),Rock / Dragon,True,76.3,73.0,Average
698,Amaura,Rock,Ice,362,77,59,50,67,63,46,,Weak (300-399),Rock / Ice,True,32.800000000000004,36.4,Slow
699,Aurorus,Rock,Ice,521,123,77,72,99,92,58,,Strong (500-579),Rock / Ice,True,68.2,86.1,Slow
700,Sylveon,Fairy,,525,95,65,65,110,130,60,,Strong (500-579),Fairy,False,67.0,87.0,Slow
701,Hawlucha,Fighting,Flying,500,78,92,75,74,63,118,,Average (400-499),Fighting / Flying,True,60.699999999999996,49.9,Fast
702,Dedenne,Electric,Fairy,431,67,58,57,81,67,101,,Average (400-499),Electric / Fairy,True,39.7,37.6,Fast
703,Carbink,Rock,Fairy,500,50,50,150,50,150,50,,Average (400-499),Rock / Fairy,True,16.6,97.8,Slow
704,Goomy,Dragon,,300,45,50,35,55,75,40,,Very Weak (<300),Dragon,False,19.400000000000002,19.7,Very Slow
705,Sliggoo,Dragon,,452,68,75,53,83,113,60,,Average (400-499),Dragon,False,54.800000000000004,58.4,Slow
706,Goodra,Dragon,,600,90,100,70,110,150,80,,Very Strong (580-699),Dragon,False,87.3,92.5,Average
707,Klefki,Steel,Fairy,470,57,80,91,80,87,75,,Average (400-499),Steel / Fairy,True,56.3,59.199999999999996,Average
708,Phantump,Ghost,Grass,309,43,70,48,50,60,38,,Weak (300-399),Ghost / Grass,True,29.2,18.5,Very Slow
709,Trevenant,Ghost,Grass,474,85,110,76,65,82,56,,Average (400-499),Ghost / Grass,True,67.0,64.1,Slow
710,Pumpkaboo,Ghost,Grass,335,49,66,70,44,55,51,Average Size,Weak (300-399),Ghost / Grass,True,22.6,28.499999999999996,Slow
710,Pumpkaboo,Ghost,Grass,335,54,66,70,44,55,46,Large Size,Weak (300-399),Ghost / Grass,True,22.6,30.7,Slow
710,Pumpkaboo,Ghost,Grass,335,44,66,70,44,55,56,Small Size,Weak (300-399),Ghost / Grass,True,22.6,25.7,Slow
710,Pumpkaboo,Ghost,Grass,335,59,66,70,44,55,41,Super Size,Weak (300-399),Ghost / Grass,True,22.6,33.0,Very Slow
711,Gourgeist,Ghost,Grass,494,65,90,122,58,75,84,Average Size,Average (400-499),Ghost / Grass,True,48.4,74.5,Average
711,Gourgeist,Ghost,Grass,494,75,95,122,58,75,69,Large Size,Average (400-499),Ghost / Grass,True,52.1,80.30000000000001,Slow
711,Gourgeist,Ghost,Grass,494,55,85,122,58,75,99,Small Size,Average (400-499),Ghost / Grass,True,44.1,68.89999999999999,Average
711,Gourgeist,Ghost,Grass,494,85,100,122,58,75,54,Super Size,Average (400-499),Ghost / Grass,True,54.800000000000004,84.3,Slow
712,Bergmite,Ice,,304,55,69,85,32,35,28,,Weak (300-399),Ice,False,17.9,29.4,Very Slow
713,Avalugg,Rock,,514,95,127,184,34,36,38,Hisuian,Strong (500-579),Rock,False,57.599999999999994,93.5,Very Slow
713,Avalugg,Ice,,514,95,117,184,44,46,28,,Strong (500-579),Ice,False,57.599999999999994,95.39999999999999,Very Slow
714,Noibat,Flying,Dragon,245,40,30,35,45,40,55,,Very Weak (<300),Flying / Dragon,True,5.2,4.6,Slow
715,Noivern,Flying,Dragon,535,85,70,80,97,80,123,,Strong (500-579),Flying / Dragon,True,60.9,64.9,Fast
716,Xerneas,Fairy,,680,126,131,95,131,98,99,,Very Strong (580-699),Fairy,False,97.1,94.19999999999999,Average
717,Yveltal,Dark,Flying,680,126,131,95,131,98,99,,Very Strong (580-699),Dark / Flying,True,97.1,94.19999999999999,Average
718,Zygarde,Dragon,Ground,486,54,100,71,61,85,115,10% Form,Average (400-499),Dragon / Ground,True,57.599999999999994,46.1,Fast
718,Zygarde,Dragon,Ground,600,108,100,121,81,95,95,50% Form,Very Strong (580-699),Dragon / Ground,True,72.0,95.3,Average
718,Zygarde,Dragon,Ground,708,216,100,121,91,95,85,Complete Form,Legendary (700+),Dragon / Ground,True,77.60000000000001,99.8,Average
719,Diancie,Rock,Fairy,700,50,160,110,160,110,110,Mega,Very Strong (580-699),Rock / Fairy,True,99.4,78.9,Fast
719,Diancie,Rock,Fairy,600,50,100,150,100,150,50,,Very Strong (580-699),Rock / Fairy,True,82.69999999999999,97.8,Slow
720,Hoopa,Psychic,Ghost,600,80,110,60,150,130,70,Confined,Very Strong (580-699),Psychic / Ghost,True,96.8,78.9,Slow
720,Hoopa,Psychic,Dark,680,80,160,60,170,130,80,Unbound,Very Strong (580-699),Psychic / Dark,True,99.6,78.9,Average
721,Volcanion,Fire,Water,600,80,110,120,130,90,70,,Very Strong (580-699),Fire / Water,True,94.1,87.0,Slow
722,Rowlet,Grass,Flying,320,68,55,55,50,50,42,,Weak (300-399),Grass / Flying,True,19.400000000000002,28.1,Very Slow
723,Dartrix,Grass,Flying,420,78,75,75,70,70,52,,Average (400-499),Grass / Flying,True,46.0,53.7,Slow
724,Decidueye,Grass,Fighting,530,88,112,80,95,95,60,Hisuian,Strong (500-579),Grass / Fighting,True,85.9,74.7,Slow
724,Decidueye,Grass,Ghost,530,78,107,75,100,100,70,,Strong (500-579),Grass / Ghost,True,85.9,69.1,Slow
725,Litten,Fire,,320,45,65,40,60,40,70,,Weak (300-399),Fire,False,32.1,7.6,Slow
726,Torracat,Fire,,420,65,85,50,80,50,90,,Average (400-499),Fire,False,59.5,24.099999999999998,Average
727,Incineroar,Fire,Dark,530,95,115,90,80,90,60,,Strong (500-579),Fire / Dark,True,79.80000000000001,81.8,Slow
728,Popplio,Water,,320,50,54,54,66,56,40,,Weak (300-399),Water,False,29.2,21.8,Very Slow
729,Brionne,Water,,420,60,69,69,91,81,50,,Average (400-499),Water,False,56.3,46.1,Slow
730,Primarina,Water,Fairy,530,80,74,74,126,116,60,,Strong (500-579),Water / Fairy,True,82.69999999999999,78.9,Slow
731,Pikipek,Normal,Flying,265,35,75,30,30,30,65,,Very Weak (<300),Normal / Flying,True,19.400000000000002,1.4000000000000001,Slow
732,Trumbeak,Normal,Flying,355,55,85,50,40,50,75,,Weak (300-399),Normal / Flying,True,32.1,19.7,Average
733,Toucannon,Normal,Flying,485,80,120,75,75,75,60,,Average (400-499),Normal / Flying,True,79.80000000000001,57.099999999999994,Slow
734,Yungoos,Normal,,253,48,70,30,30,30,45,,Very Weak (<300),Normal,False,16.6,3.0,Very Slow
735,Gumshoos,Normal,,418,88,110,60,55,60,45,,Average (400-499),Normal,False,59.5,44.800000000000004,Very Slow
736,Grubbin,Bug,,300,47,62,45,55,45,46,,Very Weak (<300),Bug,False,27.0,12.2,Slow
737,Charjabug,Bug,Electric,400,57,82,95,55,75,36,,Weak (300-399),Bug / Electric,True,38.7,55.60000000000001,Very Slow
738,Vikavolt,Bug,Electric,500,77,70,90,145,75,43,,Average (400-499),Bug / Electric,True,89.0,63.9,Very Slow
739,Crabrawler,Fighting,,338,47,82,57,42,47,63,,Weak (300-399),Fighting,False,31.3,18.5,Slow
740,Crabominable,Fighting,Ice,478,97,132,77,62,67,43,,Average (400-499),Fighting / Ice,True,78.9,63.7,Very Slow
741,Oricorio,Fire,Flying,476,75,70,70,98,70,93,Baile Style,Average (400-499),Fire / Flying,True,61.3,48.699999999999996,Average
741,Oricorio,Psychic,Flying,476,75,70,70,98,70,93,Pa u Style,Average (400-499),Psychic / Flying,True,61.3,48.699999999999996,Average
741,Oricorio,Electric,Flying,476,75,70,70,98,70,93,Pom-Pom Style,Average (400-499),Electric / Flying,True,61.3,48.699999999999996,Average
741,Oricorio,Ghost,Flying,476,75,70,70,98,70,93,Sensu Style,Average (400-499),Ghost / Flying,True,61.3,48.699999999999996,Average
742,Cutiefly,Bug,Fairy,304,40,45,40,55,40,84,,Weak (300-399),Bug / Fairy,True,16.6,6.1,Average
743,Ribombee,Bug,Fairy,464,60,55,60,95,70,124,,Average (400-499),Bug / Fairy,True,50.3,36.4,Fast
744,Rockruff,Rockruff,Rock,280,45,65,40,30,40,60,Own Tempo,Very Weak (<300),Rockruff / Rock,True,13.8,7.6,Slow
744,Rockruff,Rock,,280,45,65,40,30,40,60,,Very Weak (<300),Rock,False,13.8,7.6,Slow
745,Lycanroc,Rock,,487,75,117,65,55,65,110,Dusk Form,Average (400-499),Rock,False,65.3,43.6,Fast
745,Lycanroc,Rock,,487,75,115,65,55,65,112,Midday Form,Average (400-499),Rock,False,63.3,43.6,Fast
745,Lycanroc,Rock,,487,85,115,75,55,75,82,Midnight Form,Average (400-499),Rock,False,63.3,59.199999999999996,Average
746,Wishiwashi,Water,,620,45,140,130,140,135,30,School Form,Very Strong (580-699),Water,False,98.6,92.5,Very Slow
746,Wishiwashi,Water,,175,45,20,20,25,25,40,Solo Form,Very Weak (<300),Water,False,0.8999999999999999,0.8999999999999999,Very Slow
747,Mareanie,Poison,Water,305,50,53,62,43,52,45,,Weak (300-399),Poison / Water,True,14.499999999999998,23.3,Very Slow
748,Toxapex,Poison,Water,495,50,63,152,53,142,35,,Average (400-499),Poison / Water,True,26.700000000000003,97.39999999999999,Very Slow
749,Mudbray,Ground,,385,70,100,70,45,55,45,,Weak (300-399),Ground,False,46.0,39.2,Very Slow
750,Mudsdale,Ground,,500,100,125,100,55,85,35,,Average (400-499),Ground,False,70.3,85.3,Very Slow
751,Dewpider,Water,Bug,269,38,40,52,40,72,27,,Very Weak (<300),Water / Bug,True,6.5,22.8,Very Slow
752,Araquanid,Water,Bug,454,68,70,92,50,132,42,,Average (400-499),Water / Bug,True,29.2,87.8,Very Slow
753,Fomantis,Grass,,250,40,55,35,50,35,35,,Very Weak (<300),Grass,False,19.400000000000002,3.4000000000000004,Very Slow
754,Lurantis,Grass,,480,70,105,90,80,90,45,,Average (400-499),Grass,False,74.0,67.5,Very Slow
755,Morelull,Grass,Fairy,285,40,35,55,65,75,15,,Very Weak (<300),Grass / Fairy,True,16.6,26.900000000000002,Very Slow
756,Shiinotic,Grass,Fairy,405,60,45,80,90,100,30,,Average (400-499),Grass / Fairy,True,37.6,62.3,Very Slow
757,Salandit,Poison,Fire,320,48,44,40,71,40,77,,Weak (300-399),Poison / Fire,True,25.7,8.4,Average
758,Salazzle,Poison,Fire,480,68,64,60,111,60,117,,Average (400-499),Poison / Fire,True,67.0,35.0,Fast
759,Stufful,Normal,Fighting,340,70,75,50,45,50,50,,Weak (300-399),Normal / Fighting,True,29.2,26.900000000000002,Slow
760,Bewear,Normal,Fighting,500,120,125,80,55,60,60,,Average (400-499),Normal / Fighting,True,70.3,73.0,Slow
761,Bounsweet,Grass,,210,42,30,38,30,38,32,,Very Weak (<300),Grass,False,2.7,5.1,Very Slow
762,Steenee,Grass,,290,52,40,48,40,48,62,,Very Weak (<300),Grass,False,6.5,16.900000000000002,Slow
763,Tsareena,Grass,,510,72,120,98,50,98,72,,Strong (500-579),Grass,False,63.3,77.60000000000001,Average
764,Comfey,Fairy,,485,51,52,90,82,110,100,,Average (400-499),Fairy,False,36.5,68.8,Average
765,Oranguru,Normal,Psychic,490,90,60,80,90,110,60,,Average (400-499),Normal / Psychic,True,50.3,83.6,Slow
766,Passimian,Fighting,,490,100,120,90,40,60,80,,Average (400-499),Fighting,False,56.3,67.5,Average
767,Wimpod,Bug,Water,230,25,35,40,20,30,80,,Very Weak (<300),Bug / Water,True,1.6,1.4000000000000001,Average
768,Golisopod,Bug,Water,530,75,125,140,60,90,40,,Strong (500-579),Bug / Water,True,74.0,91.2,Very Slow
769,Sandygast,Ghost,Ground,320,55,55,80,70,45,15,,Weak (300-399),Ghost / Ground,True,32.1,31.6,Very Slow
770,Palossand,Ghost,Ground,480,85,75,110,100,75,35,,Average (400-499),Ghost / Ground,True,67.0,78.9,Very Slow
771,Pyukumuku,Water,,410,55,60,130,30,130,5,,Average (400-499),Water,False,10.8,93.5,Very Slow
