b'# Name Type Total HP Attack Defense Sp. Atk Sp. Def Speed'
b'001 BulbasaurGrass Poison\n318\n45\n49\n49\n65\n65\n45'
b'935 CharcadetFire \n255\n40\n50\n40\n50\n40\n35'
b'936 ArmarougeFire Psychic\n525\n85\n60\n100\n125\n80\n75'
b'937 CeruledgeFire Ghost\n525\n75\n125\n80\n60\n100\n85'
b'938 TadbulbElectric \n272\n61\n31\n41\n59\n35\n45'
b'939 BelliboltElectric \n495\n109\n64\n91\n103\n83\n45'
b'940 WattrelElectric Flying\n280\n40\n40\n35\n55\n40\n70'
b'941 KilowattrelElectric Flying\n490\n70\n70\n60\n105\n60\n125'
b'942 MaschiffDark \n340\n60\n78\n60\n40\n51\n51'
b'943 MabosstiffDark \n505\n80\n120\n90\n60\n70\n85'
b'944 ShroodlePoison Normal\n290\n40\n65\n35\n40\n35\n75'
b'945 GrafaiaiPoison Normal\n485\n63\n95\n65\n80\n72\n110'
b'946 BramblinGrass Ghost\n275\n40\n65\n30\n45\n35\n60'
b'947 BrambleghastGrass Ghost\n480\n55\n115\n70\n80\n70\n90'
b'948 ToedscoolGround Grass\n335\n40\n40\n35\n50\n100\n70'
b'949 ToedscruelGround Grass\n515\n80\n70\n65\n80\n120\n100'
b'950 KlawfRock \n450\n70\n100\n115\n35\n55\n75'
b'951 CapsakidGrass \n304\n50\n62\n40\n62\n40\n50'
b'952 ScovillainGrass Fire\n486\n65\n108\n65\n108\n65\n75'
b'953 RellorBug \n270\n41\n50\n60\n31\n58\n30'
b'954 RabscaBug Psychic\n470\n75\n50\n85\n115\n100\n45'
b'955 FlittlePsychic \n255\n30\n35\n30\n55\n30\n75'
b'956 EspathraPsychic \n481\n95\n60\n60\n101\n60\n105'
b'957 TinkatinkFairy Steel\n297\n50\n45\n45\n35\n64\n58'
b'958 TinkatuffFairy Steel\n380\n65\n55\n55\n45\n82\n78'
b'959 TinkatonFairy Steel\n506\n85\n75\n77\n70\n105\n94'
b'960 WiglettWater \n245\n10\n55\n25\n35\n25\n95'
b'961 WugtrioWater \n425\n35\n100\n50\n50\n70\n120'
b'962 BombirdierFlying Dark\n485\n70\n103\n85\n60\n85\n82'
b'963 FinizenWater \n315\n70\n45\n40\n45\n40\n75'
b'964 Palafin Zero FormWater \n457\n100\n70\n72\n53\n62\n100'
b'964 Palafin Hero FormWater \n650\n100\n160\n97\n106\n87\n100'
b'965 VaroomSteel Poison\n300\n45\n70\n63\n30\n45\n47'
b'966 RevavroomSteel Poison\n500\n80\n119\n90\n54\n67\n90'
b'967 CyclizarDragon Normal\n501\n70\n95\n65\n85\n65\n121'
b'968 OrthwormSteel \n480\n70\n85\n145\n60\n55\n65'
b'969 GlimmetRock Poison\n350\n48\n35\n42\n105\n60\n60'
b'970 GlimmoraRock Poison\n525\n83\n55\n90\n130\n81\n86'
b'971 GreavardGhost \n290\n50\n61\n60\n30\n55\n34'
b'972 HoundstoneGhost \n488\n72\n101\n100\n50\n97\n68'
b'973 FlamigoFlying Fighting\n500\n82\n115\n74\n75\n64\n90'
b'974 CetoddleIce \n334\n108\n68\n45\n30\n40\n43'
b'975 CetitanIce \n521\n170\n113\n65\n45\n55\n73'
b'976 VeluzaWater Psychic\n478\n90\n102\n73\n78\n65\n70'
b'977 DondozoWater \n530\n150\n100\n115\n65\n65\n35'
b'978 TatsugiriDragon Water\n475\n68\n50\n60\n120\n95\n82'
b'979 AnnihilapeFighting Ghost\n535\n110\n115\n80\n50\n90\n90'
b'980 ClodsirePoison Ground\n430\n130\n75\n60\n45\n100\n20'
b'981 FarigirafNormal Psychic\n520\n120\n90\n70\n110\n70\n60'
b'982 Dudunsparce Two-Segment FormNormal \n520\n125\n100\n80\n85\n75\n55'
b'982 Dudunsparce Three-Segment FormNormal \n520\n125\n100\n80\n85\n75\n55'
b'983 KingambitDark Steel\n550\n100\n135\n120\n60\n85\n50'
b'984 Great TuskGround Fighting\n570\n115\n131\n131\n53\n53\n87'
b'985 Scream TailFairy Psychic\n570\n115\n65\n99\n65\n115\n111'
b'986 Brute BonnetGrass Dark\n570\n111\n127\n99\n79\n99\n55'
b'987 Flutter ManeGhost Fairy\n570\n55\n55\n55\n135\n135\n135'
b'988 Slither WingBug Fighting\n570\n85\n135\n79\n85\n105\n81'
b'989 Sandy ShocksElectric Ground\n570\n85\n81\n97\n121\n85\n101'
b'990 Iron TreadsGround Steel\n570\n90\n112\n120\n72\n70\n106'
b'991 Iron BundleIce Water\n570\n56\n80\n114\n124\n60\n136'
b'992 Iron HandsFighting Electric\n570\n154\n140\n108\n50\n68\n50'
b'993 Iron JugulisDark Flying\n570\n94\n80\n86\n122\n80\n108'
b'994 Iron MothFire Poison\n570\n80\n70\n60\n140\n110\n110'
b'995 Iron ThornsRock Electric\n570\n100\n134\n110\n70\n84\n72'
b'996 FrigibaxDragon Ice\n320\n65\n75\n45\n35\n45\n55'
b'997 ArctibaxDragon Ice\n423\n90\n95\n66\n45\n65\n62'
b'998 BaxcaliburDragon Ice\n600\n115\n145\n92\n75\n86\n87'
b'999 Gimmighoul Chest FormGhost \n300\n45\n30\n70\n75\n70\n10'
b'999 Gimmighoul Roaming FormGhost \n300\n45\n30\n25\n75\n45\n80'
b'1000 GholdengoSteel Ghost\n550\n87\n60\n95\n133\n91\n84'
b'1001 Wo-ChienDark Grass\n570\n85\n85\n100\n95\n135\n70'
b'1002 Chien-PaoDark Ice\n570\n80\n120\n80\n90\n65\n135'
b'1003 Ting-LuDark Ground\n570\n155\n110\n125\n55\n80\n45'
b'1004 Chi-YuDark Fire\n570\n55\n80\n80\n135\n120\n100'
b'1005 Roaring MoonDragon Dark\n590\n105\n139\n71\n55\n101\n119'
b'1006 Iron ValiantFairy Fighting\n590\n74\n130\n90\n120\n60\n116'
b'1007 KoraidonFighting Dragon\n670\n100\n135\n115\n85\n100\n135'
b'1008 MiraidonElectric Dragon\n670\n100\n85\n100\n135\n115\n135'
